Component,Points,Comments
Clarity,5,"1/2 Document is readable and answers are clearly indicated, 1/2 Properly labeled with name and student number at top and student number on charts (at least on most, okay if missing on 1 or 2)."
Question 1,4,1/2 for correct values 1/2 for discussion
Question 2,4,"1/4 for plot, 3/4 for discussion"
Question 3,6,"1/2 for producing plot w/ correct values & units, 1/2 for discussion"
Question 4,3,"1/3 for calculation, 2/3 for discussion"
Question 5,1,"Already calculated values in q1, just give credit for discussion"
Question 6,5,"3/4 for correct answers & units, 1/4 for discussion"
Question 7,10,"1/2 for calculating k at noon, 1/2 for discussion (whicih will require calculating k for one or more other timesteps)"
Question 8,8,"Note: if choice of timestamp differs from key (13:00-15:00 instead of 12:00-14:00) value of C might vary a bit.   If incorrect time units used but otherwise correct, give 5/8 credit"
Question 9,15,"1/4 for correct answer and units, 3/4 for discussion"
Question 10,10,"1/2 for correct number of photons, 1/2 for converting to umol m-2 s-1"
Question 11,8,"Note: the error in original equation accept either answer given in key, or combination.  But make a not if the gave the ""erroneous"" answer, just so they know to use the correceted equation in the future"
Question 12,8,"1/2 for plot with correct units/values, 1/2 for discussion"
Question 13,6,"1/2 for proper equation, 1/2 correct answer and units"
Question 14,7,"1/2 for proper calculation, correct answer and units 1/2 for discussion"
Total,100,
